date,open,high,low,close,volume
1/20/2015,26.96,27.242,26.625,27.18,199599628
1/21/2015,27.238,27.765,27.068,27.388,194303588
1/22/2015,27.565,28.118,27.43,28.1,215185636
1/23/2015,28.075,28.438,27.883,28.245,185859312
1/26/2015,28.435,28.591,28.2,28.275,222459916
1/27/2015,28.105,28.12,27.258,27.285,382274996
1/28/2015,29.406,29.53,28.828,28.828,585908252
1/29/2015,29.08,29.798,28.89,29.725,337745728
1/30/2015,29.6,30,29.213,29.29,334981844
2/2/2015,29.513,29.793,29.02,29.658,250956400
2/3/2015,29.625,29.773,29.403,29.663,207662996
2/4/2015,29.625,30.128,29.577,29.89,280598972
2/5/2015,30.005,30.058,29.813,29.985,168984980
2/6/2015,30.005,30.063,29.613,29.733,174826268
2/9/2015,29.638,29.96,29.608,29.93,155559188
2/10/2015,30.043,30.538,30.04,30.505,248034024
2/11/2015,30.693,31.23,30.625,31.22,294247188
2/12/2015,31.515,31.87,31.393,31.615,297897864
2/13/2015,31.82,31.82,31.413,31.77,217088876
2/17/2015,31.873,32.22,31.73,31.958,252609620
2/18/2015,31.906,32.195,31.863,32.179,179566948
2/19/2015,32.12,32.258,32.083,32.112,149449524
2/20/2015,32.155,32.375,32.013,32.374,195793676
2/23/2015,32.505,33.25,32.415,33.25,283896440
2/24/2015,33.235,33.4,32.793,33.043,276912520
2/25/2015,32.89,32.9,32.038,32.197,298846984
2/26/2015,32.196,32.718,31.653,32.604,365150116
2/27/2015,32.5,32.643,32.06,32.115,248059388
3/2/2015,32.313,32.57,32.075,32.273,192386652
3/3/2015,32.24,32.38,32.023,32.34,151265132
3/4/2015,32.275,32.39,32.08,32.135,126665360
3/5/2015,32.145,32.188,31.44,31.603,226068584
3/6/2015,32.1,32.343,31.565,31.65,291368240
3/9/2015,31.99,32.393,31.265,31.785,354113948
3/10/2015,31.603,31.805,30.95,31.128,275426328
3/11/2015,31.188,31.193,30.528,30.56,275755896
3/12/2015,30.578,31.225,30.408,31.113,193450876
3/13/2015,31.1,31.349,30.645,30.898,207309132
3/16/2015,30.97,31.238,30.718,31.238,143497200
3/17/2015,31.475,31.83,31.413,31.76,204092416
3/18/2015,31.75,32.29,31.593,32.118,261083780
